world_rank,university_name,Country,Region,Climate,Tuition_Fees (USD)[10076-49933],Average_Living_Cost (USD),Scholarship_Option(yes/no),Global_Ranking,Internship_Placement_Rate(%),Research_Opportunities,Teaching_Method,Faculty_Credentials (%),Degree_Recognition,Student_Satisfaction_Rate (%),Course_Flexibility,Dual_Degree_Programs,Transfer_Options,Living_Conditions,Average_Placement_(LPA)[5-19.94],Global_Certifications,Alumni_Network,Scholarship_Program,Scholarship_Amount(USD),Visa_Sponsorship,Visa_Sponsorship_Details,Language_Requirements,Aptitude_Test_Requirements,Top_Hiring_Industries,Fields_of Study Available,Year_Established,Program_Duration (Years),Student Facilities,Dining Options,Acceptance_Rate(%),Application_Deadlines,Interview Requirement,Student Support Services,Class Size,Safety Index (%),Currency Used,College Recognition and Awards,Early Decision,Waitlist Acceptance Rate (%),Open Electives Per Stream,Student Exchange Program,Local Attractions,Accessibility for Students with Disabilities,Quality of Mentors (Rating out of 10),Gap Year Support,Recommendation Letters Requirement,Embassy Support,Events,Smart Classroom Features,Collaborative Study Spaces,Retention Rate (%),Summer and Winter Internship
301-350,University of Cincinnati,USA,Europe,Tropical,39695,21904,No,1,75.81721153,Yes,Hybrid,92,Regional,81,Medium,No,Yes,Medium,17.43,Yes,Active,No Scholarship,47864.07,Yes,Full Sponsorship,English,None,Tech,Arts,1955,3,Library,Food Court,48,Nov-01,No,Yes,27,90,USD,Global Ranking Top 100,No,1,5,No,Religious Sites,Good,9.613463793,Not Available,No,Low,59,No,Yes,77.9247701,Yes
601-800,University of Electronic Science and Technology of China,UK,Oceania,Temperate,19936,18794,Yes,1,65.00736609,No,In-person,80,National,77,High,Yes,No,High,9.16,No,Inactive,Partial Scholarship,9302.94,Yes,No Sponsorship,Mandarin,GRE,Consulting,Arts,1934,5,Sports Complex,Cafeteria,8,Apr-30,No,Yes,17,95,EUR,National Recognition,No,8,4,Yes,Mountain Passes,Average,6.224914985,Not Available,Yes,High,75,Yes,Yes,71.42316299,No
601-800,V.N. Karazin Kharkiv National University,USA,North America,Continental,41960,13615,No,1,97.53470397,Yes,Online,87,National,78,Low,Yes,Yes,Low,6.27,No,Inactive,Partial Scholarship,3501.65,Yes,Partial Sponsorship,English,IELTS,Finance,Law,1932,4,Sports Complex,Cafeteria,18,Nov-01,No,Yes,50,80,EUR,National Recognition,Yes,6,3,No,Beaches and Coastal Areas,Average,7.751822485,Not Available,Yes,Low,91,No,No,76.03474819,Yes
401-500,Novosibirsk State University,Canada,Asia,Continental,40896,13675,Yes,2,70.46285924,Yes,Online,80,National,64,High,Yes,No,Medium,6.24,No,Inactive,No Scholarship,44412.18,No,Full Sponsorship,Spanish,None,Finance,Science,1823,3,Gym,Restaurants,45,Nov-01,No,Yes,13,85,USD,Regional Award,Yes,6,10,Yes,Lakes,Average,8.468364629,Not Available,No,Low,61,Yes,Yes,73.70742036,No
501-600,University of La Laguna,Australia,Oceania,Continental,27785,22217,Yes,2,53.74405911,No,In-person,77,Regional,92,Low,No,No,Low,8.06,No,Active,No Scholarship,21742.06,Yes,No Sponsorship,Mandarin,GRE,Tech,Technology,1858,5,Gym,Food Court,39,Jan-15,No,Yes,12,95,USD,Global Ranking Top 100,No,2,3,Yes,Wineries,Average,7.212203834,Available,No,Medium,91,Yes,No,76.00224671,Yes
351-400,University of South Carolina,Australia,Europe,Temperate,37091,20815,Yes,4,77.01058735,Yes,Hybrid,96,National,83,Low,No,Yes,Low,8.43,Yes,Active,Full Scholarship,46344.48,Yes,No Sponsorship,German,GRE,Tech,Engineering,1951,5,Labs,Food Court,9,Nov-01,Yes,Yes,41,80,EUR,Regional Award,No,3,8,Yes,Nature Reserves,Excellent,9.420823953,Available,No,High,80,No,No,95.38468844,No
401-500,Saint Petersburg State University,Australia,Asia,Continental,27367,14614,Yes,4,65.39366917,Yes,In-person,95,Regional,65,Low,No,No,High,19.3,Yes,Inactive,Partial Scholarship,45012.19,No,Partial Sponsorship,Spanish,None,Consulting,Business,1870,5,Labs,Food Court,33,Apr-30,No,Yes,35,80,USD,National Recognition,Yes,3,8,Yes,Festivals,Excellent,9.959060311,Available,No,Low,18,No,No,88.58181096,No
88,Kyoto University,USA,North America,Continental,33761,19062,Yes,5,75.97315574,Yes,Online,73,International,77,Low,No,Yes,High,18.24,No,Active,Full Scholarship,38239.15,No,Full Sponsorship,Mandarin,GRE,Finance,Engineering,1821,4,Gym,Food Court,17,Jan-15,Yes,No,34,90,GBP,Regional Award,No,2,6,Yes,Vineyards,Good,6.831346526,Not Available,No,High,54,Yes,Yes,79.35183102,Yes
251-300,James Cook University,Australia,North America,Tropical,46915,20488,Yes,5,94.65494632,No,Hybrid,83,National,60,Medium,Yes,No,High,13.44,Yes,Inactive,Full Scholarship,2246.66,Yes,Full Sponsorship,German,TOEFL,Tech,Business,1850,3,Gym,Restaurants,32,Jan-15,Yes,Yes,32,95,USD,Global Ranking Top 100,No,2,7,No,Hot Springs,Excellent,7.984810654,Not Available,Yes,Medium,89,No,No,82.02190817,No
501-600,Middle East Technical University,USA,Asia,Temperate,33313,22450,No,5,71.33531518,No,In-person,83,National,63,Medium,Yes,Yes,High,12.37,No,Active,No Scholarship,17916.09,No,Partial Sponsorship,German,None,Healthcare,Engineering,1867,5,Gym,Food Court,5,Nov-01,Yes,Yes,31,80,USD,National Recognition,Yes,10,9,No,Caves,Average,9.912142496,Available,Yes,Low,96,No,No,98.66395141,Yes
